 INFO | 2018-10-31 17:02:55,531 | Common.java | 99 | Startup activites...
 INFO | 2018-10-31 17:02:55,537 | Common.java | 99 | Test Output Directory creation successful :C:\DemoWorkspace\Adactin\TestResults\2018_10_31_05_02_54_PM
 INFO | 2018-10-31 17:02:55,539 | Common.java | 99 | Log File creation successful : LogFile.log
 INFO | 2018-10-31 17:02:56,601 | Common.java | 99 | Getting value of Tc_Settings_Excelpath from Test Configuration file : ./src/test/resources/TestCaseSettings.xls
 INFO | 2018-10-31 17:02:57,290 | Common.java | 99 | Getting value of TestDataFile from Test Configuration file : ./src/test/resources/TestData.xls
 INFO | 2018-10-31 17:02:57,451 | Common.java | 99 | Getting value of Tc_Settings_Excelpath from Test Configuration file : ./src/test/resources/TestCaseSettings.xls
 INFO | 2018-10-31 17:02:59,574 | Common.java | 99 | Getting value of ExecEnv from Test Configuration file : Server
 INFO | 2018-10-31 17:02:59,575 | Common.java | 99 | Getting value of Host from Test Configuration file : 192.168.94.75
 INFO | 2018-10-31 17:02:59,576 | Common.java | 99 | Getting value of Port from Test Configuration file : 5555
 INFO | 2018-10-31 17:02:59,576 | Common.java | 99 | Getting value of ElementLoadWaitTime from Test Configuration file : 30
 INFO | 2018-10-31 17:02:59,578 | Common.java | 99 | Getting value of TextLoadWaitTime from Test Configuration file : 10
 INFO | 2018-10-31 17:02:59,578 | Common.java | 99 | Getting value of PageLoadWaitTime from Test Configuration file : 120
 INFO | 2018-10-31 17:02:59,579 | Common.java | 99 | Getting value of ImplicitlyWaitTime from Test Configuration file : 30
 INFO | 2018-10-31 17:02:59,580 | Common.java | 99 | Element time out set
 INFO | 2018-10-31 17:02:59,580 | Common.java | 99 | ##### Start of Test Case : Login to Adactin Application #####
 INFO | 2018-10-31 17:02:59,580 | Common.java | 99 | Test Case Name: TC_001
 INFO | 2018-10-31 17:02:59,582 | Common.java | 99 | Getting value of TestDataFile from Test Configuration file : ./src/test/resources/TestData.xls
 INFO | 2018-10-31 17:02:59,721 | Common.java | 99 | Test Data Set Name: TC_001
 INFO | 2018-10-31 17:02:59,721 | Common.java | 99 | Execution Flag: Execute
 INFO | 2018-10-31 17:02:59,722 | Common.java | 99 | Test Data Set Name: TC_001_01
 INFO | 2018-10-31 17:02:59,723 | Common.java | 99 | Execution Flag: YES
 INFO | 2018-10-31 17:02:59,723 | Common.java | 99 | Test Data Set Name: TC_001_02
 INFO | 2018-10-31 17:02:59,723 | Common.java | 99 | Execution Flag: YES
 INFO | 2018-10-31 17:02:59,724 | Common.java | 99 | Test Data Set Name: 
 INFO | 2018-10-31 17:02:59,724 | Common.java | 99 | Execution Flag: 
 INFO | 2018-10-31 17:02:59,811 | Common.java | 99 | Getting value of Browser from Test Configuration file : Chrome
 INFO | 2018-10-31 17:02:59,889 | Common.java | 99 | Getting value of chromedriver from Test Configuration file : drivers/chromedriver.exe
 INFO | 2018-10-31 17:03:09,795 | Common.java | 99 | Getting value of url from Test Configuration file : http://adactin.com/HotelApp/
 INFO | 2018-10-31 17:03:13,589 | Common.java | 99 | Entered value - prakashshetty in the text field- Username
 INFO | 2018-10-31 17:03:13,589 | Common.java | 115 | Report step generation success : Entered value - prakashshetty in the text field- Username
 INFO | 2018-10-31 17:03:14,006 | Common.java | 99 | Entered value - Reset1234 in the text field- 
 INFO | 2018-10-31 17:03:14,007 | Common.java | 115 | Report step generation success : Entered value - Reset1234 in the text field- 
 INFO | 2018-10-31 17:03:14,007 | Common.java | 99 | Entered Password ->prakashshetty
 INFO | 2018-10-31 17:03:14,007 | Common.java | 115 | Report step generation success : Entered Password ->prakashshetty
 INFO | 2018-10-31 17:03:14,790 | Common.java | 99 | Getting value of Browser from Test Configuration file : Chrome
 INFO | 2018-10-31 17:03:17,793 | Common.java | 99 | Clicked on WebElement-Login
 INFO | 2018-10-31 17:03:17,794 | Common.java | 115 | Report step generation success : Clicked on WebElement-Login
